,Normalized Time,Flux
0,-1,1.1089644583465572
1,0,1.3929323103914824
2,1,1.6153886374976554
3,2,1.7869372963818964
4,3,1.9168576194904499
5,4,2.013225600789182
6,5,2.083026888606044
7,6,2.132261989386873
8,7,2.1660440723454544
9,8,2.1886897514101586
10,9,2.2038032075866654
11,10,2.2143540018668237
12,11,2.222748916116126
13,12,2.230898146960923
14,13,2.2402761655703833
15,14,2.2519775443830157
16,15,2.2667680402611534
17,16,2.2851312122647993
18,17,2.3073108412171064
19,18,2.333349407483028
20,19,2.363122872898272
21,20,2.396372002563805
22,21,2.432730452259213
23,22,2.471749837522806
24,23,2.512921990994548
25,24,2.5556986054165565
26,25,2.599508450731926
27,26,2.6437723450129735
28,27,2.6879160504814883
29,28,2.7313812576533247
30,29,2.7736348126442154
31,30,2.814176334910404
32,31,2.852544365163119
33,32,2.8883211758871514
34,33,2.9211363698077295
35,34,2.9506693847833594
36,35,2.9766510169523115
37,36,2.998864067523857
38,37,3.0171432123790556
39,38,3.0313741876269416
40,39,3.0414923784469767
41,40,3.0474808929349217
42,41,3.049368197253333
43,42,3.0472253831670155
44,43,3.0411631340145275
45,44,3.031328450326386
46,45,3.0179011916458136
47,46,3.0010904866354995
48,47,2.981131059261026
49,48,2.95827951472506
50,49,2.932810624883198
51,50,2.905013649099236
52,51,2.875188722891714
53,52,2.843643343281552
54,53,2.8106889764695704
55,54,2.776637810349431
56,55,2.7417996713930464
57,56,2.7064791226286458
58,57,2.670972756763407
59,58,2.635566695979747
60,59,2.6005343075539313
61,60,2.566134142204535
62,61,2.532608099973365
63,62,2.5001798264696524
64,63,2.469053340466555
65,64,2.4394118921241796
66,65,2.4114170495223846
67,66,2.3852080097164046
68,67,2.3609011291758333
69,68,2.338589667229573
70,69,2.318343735012934
71,70,2.30021044139507
72,71,2.2842142264522445
73,72,2.270357372242003
74,73,2.2586206799220276
75,74,2.2489643016422254
76,75,2.241328715116378
77,76,2.2356358283472835
78,77,2.2317902016338027
79,78,2.229680373726335
80,79,2.2291802788160515
81,80,2.23015074093951
82,81,2.2324410323510246
83,82,2.2358904824572976
84,83,2.24033012401918
85,84,2.2455843635010218
86,85,2.2514726626857073
87,86,2.2578112189701627
88,87,2.2644146321086875
89,88,2.271097545576895
90,89,2.277676251184191
91,90,2.2839702460645377
92,91,2.289803731720625
93,92,2.2950070453824205
94,93,2.299418014564324
95,94,2.3028832263626833
96,95,2.3052592037241935
97,96,2.3064134816325836
98,97,2.3062255769029134
99,98,2.304587846036664
100,99,2.3014062263735515
101,100,2.296600856574471
102,101,2.290106573281185
103,102,2.281873281619135
104,103,2.271866198037061
105,104,2.260065964807799
106,105,2.246468636345703
107,106,2.2310855383243844
108,107,2.2139430014009345
109,108,2.195081972166284
110,109,2.1745575047428507
111,110,2.152438137237002
112,111,2.1288051580220406
113,112,2.103751767574324
114,113,2.077382142307642
115,114,2.049810407546052
116,115,2.0211595274398686
117,116,1.9915601202604076
118,117,1.9611492081031943
119,118,1.9300689105837268
120,119,1.8984650926212816
121,120,1.8664859768717228
122,121,1.8342807317866239
123,122,1.80199804664022
124,123,1.7697847051746534
125,124,1.7377841697645788
126,125,1.7061351881913696
127,126,1.6749704352418135
128,127,1.6444152014032483
129,128,1.6145861409134254
130,129,1.5855900913359713
131,130,1.5575229766680039
132,131,1.530468805742216
133,132,1.5044987773584118
134,133,1.4796705031660542
135,134,1.456027358816702
136,135,1.4335979733102515
137,136,1.4123958657684947
138,137,1.392419238080672
139,138,1.3736509309752174
140,139,1.3560585500768272
141,140,1.3395947674050817
142,141,1.3241978025571834
143,142,1.3097920864897388
144,143,1.2962891093698339
145,144,1.2835884524009733
146,145,1.27157900184142
147,146,1.2601403416183297
148,147,1.249144318997428
149,148,1.2384567756919562
150,149,1.227939434582993
151,150,1.2174519298730504
152,151,1.2068539660028885
153,152,1.1960075880246979
154,153,1.1847795433402124
155,154,1.1730437117765808
156,155,1.1606835778831683
157,156,1.1475947160855882
158,157,1.13368725592603
159,158,1.1188882910486426
160,159,1.1031441918516796
161,160,1.0864227778217908
162,161,1.0687153014868016
163,162,1.050038191668617
164,163,1.030434499284433
165,164,1.0099749843289796
166,165,0.9887587778703975
167,166,0.9669135479038076
168,167,0.9445950927272497
169,168,0.9219862801309922
170,169,0.8992952451201159
171,170,0.8767527531189165
172,171,0.8546086296307858
173,172,0.8331271511457912
174,173,0.8125812856969394
175,174,0.7932456648624258
176,175,0.7753881621911909
177,176,0.7592599459909348
178,177,0.7450838671563456
179,178,0.7330410352305214
180,179,0.723255428177654
181,180,0.7157763734005853
182,181,0.7105587293568905
183,182,0.7074405887100443
184,183,0.7061183152951556
185,184,0.7061187182767097
186,185,0.7067681577287523
