,Normalized Time,Flux
0,-1,0.9337974351190632
1,0,1.3548751672048391
2,1,1.7952639354322697
3,2,2.249660682538355
4,3,2.7132505417992454
5,4,3.1816773257343534
6,5,3.651015310946632
7,6,4.117742277426471
8,7,4.57871376158873
9,8,5.031138483240482
10,9,5.472554907589627
11,10,5.900808904306423
12,11,6.314032466538002
13,12,6.7106234536496085
14,13,7.089226322328866
15,14,7.4487138115377824
16,15,7.788169547633313
17,16,8.10687153680042
18,17,8.404276512752764
19,18,8.680005108453582
20,19,8.933827821395703
21,20,9.16565174275296
22,21,9.375508021475886
23,22,9.563540035154386
24,23,9.729992240206405
25,24,9.87519967467702
26,25,9.999578087645078
27,26,10.103614669936313
28,27,10.187859361531082
29,28,10.25291671173301
30,29,10.299438268831702
31,30,10.328115476646962
32,31,10.339673055986811
33,32,10.334862849683129
34,33,10.314458110490856
35,34,10.279248211746623
36,35,10.230033761282286
37,36,10.16762209967727
38,37,10.092823164511348
39,38,10.006445702846687
40,39,9.909293814724263
41,40,9.802163811005837
42,41,9.685841369428315
43,42,9.561098973262316
44,43,9.42869361748217
45,44,9.28936476785895
46,45,9.143832558883627
47,46,8.992796216911648
48,47,8.836932695395888
49,48,8.676895509539765
50,49,8.513313758158196
51,50,8.346791320979884
52,51,8.177906220061109
53,52,8.007210134408274
54,53,7.835228057324256
55,54,7.662458086402221
56,55,7.489371336490162
57,56,7.3164119663397145
58,57,7.143997310034415
59,58,6.972518104665268
60,59,6.802338806085274
61,60,6.633797984930034
62,61,6.467208795437906
63,62,6.302859509941817
64,63,6.141014112234164
65,64,5.98191294332821
66,65,5.82577339345228
67,66,5.672790634418643
68,67,5.523138386805737
69,68,5.376969716682082
70,69,5.234417856881168
71,70,5.095597048110724
72,71,4.960603395445345
73,72,4.829515736010302
74,73,4.702396513915016
75,74,4.579292658738439
76,75,4.460236464104888
77,76,4.345246463117916
78,77,4.234328297641887
79,78,4.127475578635879
80,79,4.0246707349526485
81,80,3.9258858482166064
82,81,3.83108347158932
83,82,3.7402174304188662
84,83,3.653233602950736
85,84,3.5700706794528196
86,85,3.4906608982754896
87,86,3.414930757530025
88,87,3.3428017012246416
89,88,3.2741907788473212
90,89,3.209011277528571
91,90,3.147173326055265
92,91,3.08858447013893
93,92,3.033150218468293
94,93,2.980774559196785
95,94,2.931360446630968
96,95,2.884810257995717
97,96,2.841026220256475
98,97,2.799910807078118
99,98,2.7613671060940286
100,99,2.725299156747925
101,100,2.691612259054978
102,101,2.660213253707805
103,102,2.6310107740272204
104,103,2.6039154703271397
105,104,2.5788402073279784
106,105,2.55570023531327
107,106,2.534413335780174
108,107,2.5148999423861516
109,108,2.4970832380414225
110,109,2.4808892290399993
111,110,2.4662467971611903
112,111,2.453087730708594
113,112,2.441346735484829
114,113,2.4309614267276816
115,114,2.421872303057074
116,115,2.4140227035023756
117,116,2.407358748696151
118,117,2.40182926733362
119,118,2.3973857090068895
120,119,2.393982044529622
121,120,2.3915746548711883
122,121,2.390122209819718
123,122,2.3895855374908397
124,123,2.3899274857933848
125,124,2.3911127769550595
126,125,2.3931078562000754
127,126,2.3958807356571565
128,127,2.3994008345602253
129,128,2.4036388167855334
130,129,2.4085664267481643
131,130,2.4141563246577205
132,131,2.420381922107771
133,132,2.427217218946353
134,133,2.4346366423455326
135,134,2.4426148889569372
136,135,2.451126771007229
137,136,2.460147067152922
138,137,2.469650378877734
139,138,2.4796109931779857
140,139,2.490002752242443
141,140,2.5007989307925813
142,141,2.5119721217075894
143,142,2.5234941305156515
144,143,2.535335879289197
145,144,2.547467320437038
146,145,2.559857360840653
147,146,2.572473796735465
148,147,2.585283259690872
149,148,2.598251173995093
150,149,2.6113417257027476
151,150,2.624517843554481
152,151,2.637741191929082
153,152,2.6509721759394402
154,153,2.664169958734434
155,154,2.6772924910196156
156,155,2.690296552760323
157,156,2.7031378069817875
158,157,2.7157708655320305
159,158,2.728149366624794
160,159,2.740226063931752
161,160,2.751952926945661
162,161,2.7632812522891976
163,162,2.774161785597979
164,163,2.784544853560833
165,164,2.794380505655806
166,165,2.803618665076825
167,166,2.8122092883034013
168,167,2.8201025327244165
169,168,2.827248931686893
170,169,2.833599576301929
171,170,2.8391063033025907
172,171,2.8437218882128024
173,172,2.8474002430520358
174,173,2.8500966177681546
175,174,2.8517678045600814
176,175,2.8523723442231566
177,176,2.8518707336232794
178,177,2.850225633381183
179,178,2.847402074825644
180,179,2.843367665254135
181,180,2.8380927905214826
182,181,2.8315508139615977
183,182,2.823718270634381
184,183,2.8145750558795704
185,184,2.804104607151683
186,185,2.7922940781054018
187,186,2.7791345038988466
188,187,2.764620956683279
189,188,2.748752690251945
190,189,2.731533272828154
191,190,2.7129707069832754
192,191,2.693077535689372
193,192,2.6718709335285915
194,193,2.6493727821024615
195,194,2.625609728708831
196,195,2.600613227382588
197,196,2.5744195614284258
198,197,2.5470698466100585
199,198,2.518610014200341
200,199,2.4890907731409824
201,200,2.458567550608875
202,201,2.4271004103387703
203,202,2.39475394810901
204,203,2.361597163858576
205,204,2.327703309969703
206,205,2.293149715321068
207,206,2.258017584791953
208,207,2.222391773978052
209,208,2.1863605389648324
210,209,2.1500152610944703
211,210,2.113450146757807
212,211,2.076761902343164
213,212,2.040049384579759
214,213,2.0034132266245432
215,214,1.966955440358042
216,215,1.9307789954768817
217,216,1.8949873760986804
218,217,1.8596841157284882
219,218,1.8249723115755345
220,219,1.790954119354344
221,220,1.7577302298557802
222,221,1.725399328731056
223,222,1.6940575410955296
224,223,1.6637978627291368
225,224,1.6347095798267444
226,225,1.6068776794346369
227,226,1.5803822528988318
228,227,1.5552978948470946
229,228,1.5316931004294294
230,229,1.5096296637516027
231,230,1.489162080652956
232,231,1.4703369592035331
233,232,1.4531924415263904
234,233,1.437757640789077
235,234,1.4240520974536404
236,235,1.4120852591273503
237,236,1.4018559886165836
238,237,1.3933521050542395
239,238,1.3865499632465554
240,239,1.3814140766685827
