,Normalized Time,Flux
0,-1,12.406025426372587
1,0,12.531501892956769
2,1,12.757123374174988
3,2,13.071431348470917
4,3,13.463732519959123
5,4,13.92406322559119
6,5,14.443155045029012
7,6,15.012401583764909
8,7,15.623826400535798
9,8,16.27005205056591
10,9,16.944270216676735
11,10,17.64021290077756
12,11,18.352124648740016
13,12,19.074735782130062
14,13,19.803236610745728
15,14,20.533252600369718
16,15,21.26082047061121
17,16,21.982365198161865
18,17,22.694677901243452
19,18,23.394894581468478
20,19,24.080475699773878
21,20,24.74918656352432
22,21,25.399078502309877
23,22,26.028470810386622
24,23,26.63593343413066
25,24,27.22027038328808
26,25,27.780503845214717
27,26,28.31585898170335
28,27,28.82574938839597
29,28,29.309763197175123
30,29,29.7676498023163
31,30,30.199307191569833
32,31,30.604769863722957
33,32,30.984197314565357
34,33,31.337863073555873
35,34,31.666144273852648
36,35,31.969511738731786
37,36,32.248520567776396
38,37,32.5038012065714
39,38,32.736050983986026
40,39,32.94602610147143
41,40,33.13453405913863
42,41,33.30242650371663
43,42,33.45059248382152
44,43,33.57995209829225
45,44,33.69145052367035
46,45,33.786052407217895
47,46,33.864736612180636
48,47,33.928491302310974
49,48,33.978309352970314
50,49,34.01518407642929
51,50,34.04010524928013
52,51,34.05405543016667
53,52,34.058006556324834
54,53,34.05291680770897
55,54,34.03972772775847
56,55,34.01936159013379
57,56,33.99271900102176
58,57,33.960676726876635
59,58,33.924085737725484
60,59,33.88376945642619
61,60,33.84052220451996
62,61,33.79510783557132
63,62,33.74825854713599
64,63,33.700673862738704
65,64,33.653019775483806
66,65,33.60592804515507
67,66,33.55999564089409
68,67,33.51578432177341
69,68,33.47382034780522
70,69,33.43459431414591
71,70,33.39856110147458
72,71,33.366139935735276
73,72,33.33771455064325
74,73,33.313633446560246
75,74,33.29421023954681
76,75,33.27972409459784
77,76,33.27042023726262
78,77,33.26651053804275
79,78,33.268174164148824
80,79,33.27555829338212
81,80,33.28877888508847
82,81,33.30792150330964
83,82,33.333042187432184
84,83,33.364168365804886
85,84,33.40129980796407
86,85,33.444409611270736
87,86,33.493445217924965
88,87,33.54832945848141
89,88,33.60896161814467
90,89,33.675218522275415
91,90,33.746955637687094
92,91,33.824008186458336
93,92,33.906192269129434
94,93,33.99330599429044
95,94,34.0851306117052
96,95,34.181431646249436
97,96,34.28196003007115
98,97,34.386453230510064
99,98,34.49463637143695
100,99,34.60622334579605
101,100,34.72091791725295
102,101,34.83841480896598
103,102,34.95840077761367
104,103,35.080555670920376
105,104,35.20455346703112
106,105,35.33006329419152
107,106,35.45675042929106
108,107,35.58427727392862
109,108,35.71230430675548
110,109,35.84049101094677
111,110,35.96849677574357
112,111,36.095981771098025
113,112,36.2226077945407
114,113,36.34803908947399
115,114,36.47194313417754
116,115,36.593991400891284
117,116,36.71386008441912
118,117,36.83123079977094
119,118,36.9457912484335
120,119,37.05723585293055
121,120,37.16526635940109
122,121,37.26959240798959
123,122,37.36993207090617
124,123,37.46601235807524
125,124,37.55756969035089
126,125,37.64435034033342
127,126,37.72611084087674
128,127,37.80261836142878
129,128,37.87365105239755
130,129,37.938998357784214
131,130,37.99846129637084
132,131,38.051852711795206
133,132,38.09899749188741
134,133,38.139732757683845
135,134,38.173908022572576
136,135,38.201385322061306
137,136,38.22203931469369
138,137,38.23575735467338
139,138,38.24243953678612
140,139,38.241998714240125
141,140,38.234360490072554
142,141,38.21946318279632
143,142,38.197257766985665
144,143,38.16770778952187
145,144,38.13078926224163
146,145,38.08649053175007
147,146,38.0348121271786
148,147,37.97576658668387
149,148,37.909378263499484
150,149,37.83568311236514
151,150,37.75472845717003
152,151,37.66657274065788
153,152,37.57128525704998
154,153,37.46894586845055
155,154,37.3596447059048
156,155,37.243481855985536
157,156,37.12056703378751
158,157,36.99101924321151
159,158,36.85496642542136
160,159,36.71254509635683
161,160,36.56389997418465
162,161,36.40918359756726
163,162,36.2485559356255
164,163,36.08218399046705
165,164,35.91024139314667
166,165,35.73290799391757
167,166,35.550369447625826
168,167,35.36281679509066
169,168,35.17044604130411
170,169,34.973457731272866
171,170,34.772056524313484
172,171,34.566450767599996
173,172,34.35685206974953
174,173,34.14347487521753
175,174,33.926536040259435
176,175,33.706254411199794
177,176,33.4828504057336
178,177,33.25654559796757
179,178,33.02756230789113
180,179,32.796123195948425
181,180,32.56245086336407
182,181,32.32676745885478
183,182,32.089294292339716
184,183,31.85025145624078
185,184,31.609857454943512
186,185,31.36832884296656
187,186,31.125879872366244
188,187,30.882722149879328
189,188,30.639064304284524
190,189,30.395111664439195
191,190,30.151065948424286
192,191,29.907124964206
193,192,29.66348232219849
194,193,29.420327160086707
195,194,29.17784388024379
196,195,28.93621190005218
197,196,28.695605415411833
198,197,28.456193177693745
199,198,28.21813828437091
200,199,27.981597983533348
201,200,27.746723492467495
202,201,27.51365983045467
203,202,27.282545665917034
204,203,27.053513178013745
205,204,26.826687932763765
206,205,26.602188773746082
207,206,26.380127727402197
208,207,26.160609922940132
209,208,25.943733526813467
210,209,25.729589691723703
211,210,25.518262520069076
212,211,25.30982904173773
213,212,25.104359206118836
214,213,24.9019158881804
215,214,24.702554908438817
216,215,24.50632506662098
217,216,24.31326818879677
218,217,24.123419187736395
219,218,23.936806136224675
220,219,23.75345035304202
221,220,23.573366501300292
222,221,23.39656269880051
223,222,23.22304064005872
224,223,23.052795729626265
225,224,22.885817226311026
226,225,22.722088397887724
227,226,22.56158668586656
228,227,22.404283879872317
229,228,22.250146301169003
230,229,22.099134994848928
