,Normalized Time,Flux
0,-1,1.2485116842017703
1,0,1.278796039484626
2,1,1.3155230585063173
3,2,1.3579228051940202
4,3,1.4052691610399999
5,4,1.456878440240448
6,5,1.5121080175736628
7,6,1.5703549699298969
8,7,1.6310547323595108
9,8,1.6936797694624641
10,9,1.7577382628979883
11,10,1.8227728157514067
12,11,1.8883591744530652
13,12,1.9541049689039236
14,13,2.0196484714223883
15,14,2.084657375088077
16,15,2.148827592020231
17,16,2.211882072091141
18,17,2.273569642538824
19,18,2.3336638689075304
20,19,2.391961937710173
21,20,2.448283561172769
22,21,2.502469904388265
23,22,2.5543825351747147
24,23,2.603902396901547
25,24,2.6509288045171067
26,25,2.6953784639808753
27,26,2.7371845152747953
28,27,2.7762955991399494
29,28,2.81267494765747
30,29,2.846299498765787
31,30,2.877159034780571
32,31,2.9052553449583995
33,32,2.9306014121209625
34,33,2.9532206233327485
35,34,2.973146004602336
36,35,2.990419479555101
37,36,3.0050911520036463
38,37,3.0172186123214084
39,38,3.026866267504774
40,39,3.034104694789603
41,40,3.039010018669188
42,41,3.0416633111427283
43,42,3.0421500150057637
44,43,3.0405593899773984
45,44,3.0369839814428468
46,45,3.031519111574437
47,46,3.0242623925792698
48,47,3.0153132618074565
49,48,3.0047725384413093
50,49,2.9927420014726964
51,50,2.979323988663431
52,51,2.9646210161716926
53,52,2.9487354185161823
54,53,2.93176900853908
55,54,2.9138227570187016
56,55,2.8949964915732425
57,56,2.875388614487933
58,57,2.8550958390895076
59,58,2.834212944283944
60,59,2.8128325468660407
61,60,2.7910448912024863
62,61,2.768937655883765
63,62,2.746595776934326
64,63,2.7241012871651207
65,64,2.7015331712477013
66,65,2.678967236084715
67,66,2.6564759960476767
68,67,2.634128572649471
69,68,2.611990608216023
70,69,2.590124193119044
71,70,2.568587806129633
72,71,2.5474362674508813
73,72,2.5267207039863298
74,73,2.506488526400369
75,74,2.486783417526204
76,75,2.467645331677023
77,76,2.4491105044163946
78,77,2.4312114723446734
79,78,2.4139771024593704
80,79,2.397432630648947
81,80,2.3815997088813914
82,81,2.366496460651179
83,82,2.352137544250813
84,83,2.3385342234360604
85,84,2.3256944450572963
86,85,2.3136229232329186
87,86,2.3023212296447433
88,87,2.291787889539477
89,88,2.2820184830249066
90,89,2.2730057512542348
91,90,2.264739707097111
92,91,2.2572077499012675
93,92,2.2503947839543206
94,93,2.2442833402612137
95,94,2.2388537012589267
96,95,2.2340840280965044
97,96,2.229950490115082
98,97,2.226427396169492
99,98,2.223487327440119
100,99,2.221101271390992
101,100,2.2192387565376355
102,101,2.2178679876959224
103,102,2.2169559813910813
104,103,2.2164687011141257
105,104,2.2163711921212403
106,105,2.2166277154801066
107,106,2.21720188107576
108,107,2.2180567792973243
109,108,2.2191551111358816
110,109,2.2204593164327635
111,110,2.221931700026738
112,111,2.223534555557836
113,112,2.22523028669499
114,113,2.226981525564149
115,114,2.228751248163157
116,115,2.2305028865593695
117,116,2.232200437675776
118,117,2.233808568481242
119,118,2.2352927174104145
120,119,2.236619191848811
121,120,2.2377552615286476
122,121,2.238669247691034
123,122,2.239330607880281
124,123,2.239710016246197
125,124,2.2397794392404102
126,125,2.2395122066029276
127,126,2.2388830775453115
128,127,2.2378683020470245
129,128,2.2364456771916545
130,129,2.2345945984798723
131,130,2.23229610606608
132,131,2.2295329258757945
133,132,2.2262895055708314
134,133,2.2225520453393566
135,134,2.2183085234977775
136,135,2.213548716901316
137,136,2.20826421616989
138,137,2.202448435745628
139,138,2.1960966188079465
140,139,2.1892058370816576
141,140,2.1817749855829565
142,141,2.1738047723574483
143,142,2.1652977032735485
144,143,2.1562580619436322
145,144,2.1466918848542162
146,145,2.1366069317952285
147,146,2.1260126516870175
148,147,2.114920143912224
149,148,2.103342115267902
150,149,2.091292832661398
151,150,2.0787880716814087
152,151,2.0658450611833774
153,152,2.052482424035924
154,153,2.0387201141823112
155,154,2.024579350178087
156,155,2.0100825453729025
157,156,1.9952532349111818
158,157,1.9801159997327278
159,158,1.9646963877605195
160,159,1.949020832468878
161,160,1.9331165690308312
162,161,1.9170115482488903
163,162,1.9007343484785622
164,163,1.8843140857587444
165,164,1.8677803223676714
166,165,1.8511629740273192
167,166,1.834492215983083
168,167,1.817798388189153
169,168,1.8011118998332836
170,169,1.7844631334376027
171,170,1.7678823487747062
172,171,1.7513995868405416
